date,mmm_yy,day_type,week_no
01-11-2022,Nov_22,Tuesday,44
02-11-2022,Nov_22,Wednesday,44
03-11-2022,Nov_22,Thursday,44
04-11-2022,Nov_22,Friday,44
05-11-2022,Nov_22,Saturday,44
06-11-2022,Nov_22,Sunday,44
07-11-2022,Nov_22,Monday,45
08-11-2022,Nov_22,Tuesday,45
09-11-2022,Nov_22,Wednesday,45
10-11-2022,Nov_22,Thursday,45
11-11-2022,Nov_22,Friday,45
12-11-2022,Nov_22,Saturday,45
13-11-2022,Nov_22,Sunday,45
14-11-2022,Nov_22,Monday,46
15-11-2022,Nov_22,Tuesday,46
16-11-2022,Nov_22,Wednesday,46
17-11-2022,Nov_22,Thursday,46
18-11-2022,Nov_22,Friday,46
19-11-2022,Nov_22,Saturday,46
20-11-2022,Nov_22,Sunday,46
21-11-2022,Nov_22,Monday,47
22-11-2022,Nov_22,Tuesday,47
23-11-2022,Nov_22,Wednesday,47
24-11-2022,Nov_22,Thursday,47
25-11-2022,Nov_22,Friday,47
26-11-2022,Nov_22,Saturday,47
27-11-2022,Nov_22,Sunday,47
28-11-2022,Nov_22,Monday,48
29-11-2022,Nov_22,Tuesday,48
30-11-2022,Nov_22,Wednesday,48
01-12-2022,Dec_22,Thursday,48
02-12-2022,Dec_22,Friday,48
03-12-2022,Dec_22,Saturday,48
04-12-2022,Dec_22,Sunday,48
05-12-2022,Dec_22,Monday,49
06-12-2022,Dec_22,Tuesday,49
07-12-2022,Dec_22,Wednesday,49
08-12-2022,Dec_22,Thursday,49
09-12-2022,Dec_22,Friday,49
10-12-2022,Dec_22,Saturday,49
11-12-2022,Dec_22,Sunday,49
12-12-2022,Dec_22,Monday,50
13-12-2022,Dec_22,Tuesday,50
14-12-2022,Dec_22,Wednesday,50
15-12-2022,Dec_22,Thursday,50
16-12-2022,Dec_22,Friday,50
17-12-2022,Dec_22,Saturday,50
18-12-2022,Dec_22,Sunday,50
19-12-2022,Dec_22,Monday,51
20-12-2022,Dec_22,Tuesday,51
21-12-2022,Dec_22,Wednesday,51
22-12-2022,Dec_22,Thursday,51
23-12-2022,Dec_22,Friday,51
24-12-2022,Dec_22,Saturday,51
25-12-2022,Dec_22,Sunday,51
26-12-2022,Dec_22,Monday,52
27-12-2022,Dec_22,Tuesday,52
28-12-2022,Dec_22,Wednesday,52
29-12-2022,Dec_22,Thursday,52
30-12-2022,Dec_22,Friday,52
31-12-2022,Dec_22,Saturday,52
01-01-2023,Jan_23,Sunday,52
02-01-2023,Jan_23,Monday,1
03-01-2023,Jan_23,Tuesday,1
04-01-2023,Jan_23,Wednesday,1
05-01-2023,Jan_23,Thursday,1
06-01-2023,Jan_23,Friday,1
07-01-2023,Jan_23,Saturday,1
08-01-2023,Jan_23,Sunday,1
09-01-2023,Jan_23,Monday,2
10-01-2023,Jan_23,Tuesday,2
11-01-2023,Jan_23,Wednesday,2
12-01-2023,Jan_23,Thursday,2
13-01-2023,Jan_23,Friday,2
14-01-2023,Jan_23,Saturday,2
15-01-2023,Jan_23,Sunday,2
16-01-2023,Jan_23,Monday,3
17-01-2023,Jan_23,Tuesday,3
18-01-2023,Jan_23,Wednesday,3
19-01-2023,Jan_23,Thursday,3
20-01-2023,Jan_23,Friday,3
21-01-2023,Jan_23,Saturday,3
22-01-2023,Jan_23,Sunday,3
23-01-2023,Jan_23,Monday,4
24-01-2023,Jan_23,Tuesday,4
25-01-2023,Jan_23,Wednesday,4
26-01-2023,Jan_23,Thursday,4
27-01-2023,Jan_23,Friday,4
28-01-2023,Jan_23,Saturday,4
29-01-2023,Jan_23,Sunday,4
30-01-2023,Jan_23,Monday,5
31-01-2023,Jan_23,Tuesday,5
01-02-2023,Feb_23,Wednesday,5
02-02-2023,Feb_23,Thursday,5
03-02-2023,Feb_23,Friday,5
04-02-2023,Feb_23,Saturday,5
05-02-2023,Feb_23,Sunday,5
06-02-2023,Feb_23,Monday,6
07-02-2023,Feb_23,Tuesday,6
08-02-2023,Feb_23,Wednesday,6
09-02-2023,Feb_23,Thursday,6
10-02-2023,Feb_23,Friday,6
11-02-2023,Feb_23,Saturday,6
12-02-2023,Feb_23,Sunday,6
13-02-2023,Feb_23,Monday,7
14-02-2023,Feb_23,Tuesday,7
15-02-2023,Feb_23,Wednesday,7
16-02-2023,Feb_23,Thursday,7
17-02-2023,Feb_23,Friday,7
18-02-2023,Feb_23,Saturday,7
19-02-2023,Feb_23,Sunday,7
20-02-2023,Feb_23,Monday,8
21-02-2023,Feb_23,Tuesday,8
22-02-2023,Feb_23,Wednesday,8
23-02-2023,Feb_23,Thursday,8
24-02-2023,Feb_23,Friday,8
25-02-2023,Feb_23,Saturday,8
26-02-2023,Feb_23,Sunday,8
27-02-2023,Feb_23,Monday,9
28-02-2023,Feb_23,Tuesday,9
01-03-2023,Mar_23,Wednesday,9
02-03-2023,Mar_23,Thursday,9
03-03-2023,Mar_23,Friday,9
04-03-2023,Mar_23,Saturday,9
05-03-2023,Mar_23,Sunday,9
06-03-2023,Mar_23,Monday,10
07-03-2023,Mar_23,Tuesday,10
08-03-2023,Mar_23,Wednesday,10
09-03-2023,Mar_23,Thursday,10
10-03-2023,Mar_23,Friday,10
11-03-2023,Mar_23,Saturday,10
12-03-2023,Mar_23,Sunday,10
13-03-2023,Mar_23,Monday,11
14-03-2023,Mar_23,Tuesday,11
