date,customer_code,policy_id,sales_mode,final_premium_amt(INR)
2022-11-01,SUNX74N,POL4331HEL,Offline-Agent,9525
2022-11-01,SUNDTO,POL4331HEL,Offline-Direct,7500
2022-11-01,SUNZKZE,POL4331HEL,Offline-Agent,7500
2022-11-01,SUNYAL9,POL4331HEL,Offline-Direct,8850
2022-11-01,SUN0UJR,POL4331HEL,Offline-Agent,8175
2022-11-01,SUNAKCV,POL4331HEL,Offline-Agent,7875
2022-11-01,SUNW9GL,POL4331HEL,Offline-Agent,8925
2022-11-02,SUNN0,POL4331HEL,Offline-Agent,9975
2022-11-02,SUNZLHI,POL4331HEL,Offline-Agent,9450
2022-11-02,SUNS6F,POL4331HEL,Offline-Agent,8400
2022-11-02,SUN2BI4,POL4331HEL,Offline-Agent,9525
2022-11-02,SUNAJWO,POL4331HEL,Online-App,9450
2022-11-02,SUN03XB,POL4331HEL,Online-App,7950
2022-11-02,SUN2VE,POL4331HEL,Offline-Direct,7875
2022-11-02,SUNS0,POL4331HEL,Offline-Agent,9525
2022-11-02,SUNHV,POL4331HEL,Online-App,8175
2022-11-03,SUNET8,POL4331HEL,Offline-Agent,7500
2022-11-03,SUNI6X,POL4331HEL,Offline-Agent,9600
2022-11-03,SUNYONA,POL4331HEL,Offline-Agent,9450
2022-11-03,SUNT9N9,POL4331HEL,Offline-Direct,7500
2022-11-03,SUNJMI,POL4331HEL,Offline-Direct,8925
2022-11-03,SUNFF8Q,POL4331HEL,Offline-Agent,9300
2022-11-03,SUNOE7I,POL4331HEL,Offline-Agent,7500
2022-11-03,SUN7SX,POL4331HEL,Online-App,8625
2022-11-03,SUN75VI,POL4331HEL,Offline-Agent,8550
2022-11-04,SUNSU1O,POL4331HEL,Offline-Agent,7800
2022-11-04,SUNIFYJ,POL4331HEL,Offline-Direct,8550
2022-11-04,SUNZ4I,POL4331HEL,Offline-Direct,8175
2022-11-04,SUNI1I9,POL4331HEL,Offline-Direct,9300
2022-11-04,SUNQ7FT,POL4331HEL,Offline-Agent,8325
2022-11-04,SUNNASP,POL4331HEL,Offline-Direct,8325
2022-11-04,SUNGG8,POL4331HEL,Offline-Direct,9000
2022-11-04,SUN73G,POL4331HEL,Offline-Direct,10200
2022-11-05,SUNPPXP,POL4331HEL,Offline-Agent,8550
2022-11-05,SUN3R5F,POL4331HEL,Online-App,11850
2022-11-05,SUNL0G,POL4331HEL,Offline-Direct,8775
2022-11-05,SUNS0IB,POL4331HEL,Offline-Agent,7500
2022-11-05,SUNNN9Y,POL4331HEL,Offline-Agent,8550
