age,settlement %,
18,34.15%,
19,34.75%,
20,36.20%,
21,37.40%,
22,38.80%,
23,39.95%,
24,41.30%,
25,42.55%,
26,43.90%,
27,44.95%,
28,46.30%,
29,47.50%,
30,48.85%,
31,49.06%,
32,49.68%,
33,51.29%,
34,52.10%,
35,53.55%,
36,54.90%,
37,55.20%,
38,55.79%,
39,56.15%,
40,57.55%,
41,58.85%,
42,59.90%,
43,59.90%,
44,60.13%,
45,60.59%,
46,61.08%,
47,61.08%,
48,61.90%,
49,62%,
50,62.50%,
51,63.25%,
52,63.55%,
53,63.85%,
54,64.15%,
55,64.45%,
56,64.75%,
57,65.05%,
58,65.35%,
59,65.65%,
60,65.95%,
61,66.25%,
62,66.55%,
63,66.85%,
64,67.15%,
65,67.45%,
66,67.75%,
67,68.05%,
68,68.35%,
69,68.65%,
70,68.95%,
71,69.25%,
72,69.55%,
73,69.85%,
74,70.15%,
75,72.08%,
76,72.37%,
77,73.15%,
78,73.93%,
79,74.71%,
80,75.49%,
81,76.27%,
82,77.05%,
83,77.83%,
84,78.61%,
85,79.39%,
86,80.17%,
87,80.95%,
88,81.38%,
89,81.73%,
90,82.51%,
